insight
page_post_engagements
page_actions_post_reactions_anger_total
page_actions_post_reactions_haha_total
page_actions_post_reactions_like_total
page_actions_post_reactions_love_total
page_actions_post_reactions_sorry_total
page_actions_post_reactions_wow_total
page_consumptions
page_consumptions_unique
page_engaged_users
page_fan_adds
page_fan_adds_unique
page_fan_removes
page_fan_removes_unique
page_fans
page_impressions
page_impressions_organic
page_impressions_organic_unique
page_impressions_paid
page_impressions_paid_unique
page_impressions_unique
page_impressions_viral
page_impressions_viral_unique
page_impressions_nonviral
page_impressions_nonviral_unique
page_negative_feedback
page_negative_feedback_unique
page_places_checkin_mobile
page_places_checkin_mobile_unique
page_places_checkin_total
page_places_checkin_total_unique
page_posts_impressions
page_posts_impressions_organic
page_posts_impressions_organic_unique
page_posts_impressions_paid
page_posts_impressions_paid_unique
page_posts_impressions_unique
page_posts_impressions_viral
page_posts_impressions_viral_unique
page_content_activity
page_video_complete_views_30s
page_video_complete_views_30s_autoplayed
page_video_complete_views_30s_click_to_play
page_video_complete_views_30s_organic
page_video_complete_views_30s_paid
page_video_complete_views_30s_repeat_views
page_video_complete_views_30s_unique
page_video_repeat_views
page_video_views
page_video_views_autoplayed
page_video_views_click_to_play
page_video_views_organic
page_video_views_paid
page_video_views_unique
page_views_total
page_views_logged_in_total
page_views_logged_in_unique
page_views_logout
page_views_unique
page_fans_online_per_day
