insight
page_consumptions_by_consumption_type
page_consumptions_by_consumption_type_unique
page_content_activity_by_action_type
page_content_activity_by_action_type_unique
page_fans_by_like_source
page_fans_by_like_source_unique
page_fans_by_unlike_source_unique
page_fans_by_unlike_source
page_fans_online
page_impressions_frequency_distribution
page_impressions_viral_frequency_distribution
page_negative_feedback_by_type
page_negative_feedback_by_type_unique
page_positive_feedback_by_type
page_positive_feedback_by_type_unique
page_fans_gender_age
page_impressions_by_story_type
page_impressions_by_story_type_unique
